name,address,phone,website,has_website,rating,total_reviews,place_id
Greenside Orthodontics,"236 Barry Hertzog Ave, Greenside, Randburg, 2193, South Africa",011 646 5736,http://www.braces.joburg/,Yes,4.9,118,ChIJgWrWDXsLlR4RcwYgoY7_cTU
Dr A Laher - Ridgeway Orthodontic Centre,"59 Rifle Range Rd, Ridgeway, Johannesburg, 2091, South Africa",011 680 0300,,No,4.5,40,ChIJLajfHNwIlR4R3WBL_Zacln4
Dr.A.K.Seedat orthodontist,"52-54, Corner Glen and Vista Place, Vorster Ave, Glenanda, Johannesburg, 2091, South Africa",011 656 2766,http://akseedatorthodontics.co.za/,Yes,4.2,49,ChIJQY7SU6wOlR4RuLngv2at7rU
Dr. I M Esra,"No.101, Highlands North Medical Centre, Louis Botha Ave, Highlands North, Johannesburg, 2192, South Africa",011 786 8596,http://www.jhborthodontist.co.za/,Yes,4.2,31,ChIJZw0lT7kNlR4R-D_SMSjT7BQ
Choonara Orthodontics,"285 Pendoring Rd, Blackheath, Randburg, 2195, South Africa",011 678 8090,http://www.choonaraorthodontics.com/,Yes,4.8,90,ChIJ5WuQDtQKlR4RganzPkzStIQ
Dr A Morar - Specialist Orthodontist,"AHIMSA HOUSE, 32 Ashford Rd, Parkwood, Johannesburg, 2193, South Africa",011 880 2827,,No,4.4,24,ChIJRyBeX7oMlR4RZnu2thgqus4
Hugo Orthodontics - Floracliffe,"3 Carnation St, Floracliffe, Roodepoort, 1709, South Africa",011 475 1320,http://www.hugoorthodontics.com/,Yes,4.7,255,ChIJNSi58xKZlR4RIC0QmPWm2Ww
Dr J Kaka Orthodontist,"236 Barry Hertzog Ave, Greenside, Randburg, 2193, South Africa",011 646 5736,http://www.braces.joburg/,Yes,5,7,ChIJOffwFusLlR4RezJNRC_XD8g
Dr A Hansa,"36 Xavier St, Robertsham, Johannesburg South, 2091, South Africa",011 042 7650,,No,4.4,36,ChIJpc7og9cIlR4RV6KFpBja5nc
Concelo Orthodontics,"119 Bram Fischer Dr, Ave, Johannesburg, 2194, South Africa",011 886 2430,https://www.concelobraces.com/,Yes,5,112,ChIJh2CrWLl0lR4R8Sce-f5X5Cs
Dr Cyril Sher - Cosmetic and Invisalign Orthodontist,"452 Louis Botha Ave, Highlands North, Sandton, 2192, South Africa",011 440 5436,https://drsher-orthodontist.co.za/,Yes,4.7,83,ChIJd3jEmwoNlR4RGdk6MDU0EWU
Dr. Steven Jay Flax Orthodontist,"20 A Wessel Rd, Rivonia, Sandton, 2128, South Africa",082 657 2333,http://www.bigsmile.co.za/?utm_source=google_my_business&utm_medium=organic_search,Yes,4.7,158,ChIJPRQ-va1zlR4RgOYD-pSoRAY
Dr. Mark Wertheimer Orthodontist,"Suite 1107, The Leonardo, 75 Maude St, Sandown, Sandton, 2156, South Africa",011 783 7171,https://orthodontistinsandton.co.za/,Yes,4.6,34,ChIJAzNVDC1zlR4R5wm6Yfzkq9g
OrthodonticStudio,"60 Riveria Road, Suite 234, Killarney Mall Office Tower, Killarney, Johannesburg, 2193, South Africa",011 646 5606,http://orthodonticstudio.co.za/,Yes,5,8,ChIJ0VpRmU8MlR4RYM6YuugR-jQ
Bruma Orthodontist,"41 Turnstone St, Bruma, Johannesburg, 2198, South Africa",079 493 4190,http://www.brumaorthodontist.co.za/,Yes,4.7,14,ChIJ2xyunvwNlR4RNtuXbD7Y0vQ
Drs Ngema & Dubula Orthodontist’s,"Medimix at New Market, New Market, 1 Riboville St, Newmarket Park, Alberton, 1449, South Africa",010 110 0310,https://drsngemadubulaorthodontists.co.za/,Yes,4,46,ChIJ334-QAYQlR4Rw5g85W-caME
Dr A Magan,"33 Rifle Range Rd, Ridgeway, Johannesburg, 2091, South Africa",082 738 1682,http://www.drmagan.co.za/,Yes,4.6,173,ChIJlfpcdN4IlR4R-rWGbeZi_6w
De Necker Dentistry Melville,"23 4th Ave, Melville, Randburg, 2092, South Africa",011 726 7240,http://www.deneckerdentistry.com/,Yes,4.9,100,ChIJVaHMOJcLlR4R2ALPVN0muls
Bruma GP and Specialist Orthodontist and now Diabetes; Cardiac Centre of Excellence and Sports Medicine.,"41 Turnstone St, Bruma, Johannesburg, 2198, South Africa",079 493 4190,http://brumamedical.co.za/,Yes,4.9,133,ChIJCWKTnvwNlR4RWACr0sym84Q
Dr Antoinette Du Toit,"11 Padstow St, New Redruth, Alberton, 1449, South Africa",011 907 9265,,No,4,23,ChIJPbmXLqkalR4RWpcegEbJhyo
